NumThreads,Dim,InitTime,MulTime,Runtime
1,500,0.0195237,0.223325,0.242849
1,500,0.00855008,0.194787,0.203337
1,500,0.0200713,0.231478,0.25155
1,500,0.0138993,0.209172,0.223072
1,500,0.00820248,0.194424,0.202626
1,1000,0.033163,1.18912,1.22228
1,1000,0.0611535,1.2812,1.34235
1,1000,0.0401347,1.09592,1.13605
1,1000,0.0588819,1.27958,1.33846
1,1000,0.0404987,1.25986,1.30036
1,1500,0.05842,3.56901,3.62743
1,1500,0.0598952,3.5683,3.62819
1,1500,0.059608,3.74511,3.80472
1,1500,0.114479,3.73361,3.84809
1,1500,0.110416,3.73099,3.84141
1,2000,0.17643,16.4489,16.6253
1,2000,0.139889,16.3058,16.4457
1,2000,0.108809,16.2322,16.341
1,2000,0.106353,16.0957,16.2021
1,2000,0.106332,16.1168,16.2231
2,500,0.0106006,0.140624,0.151224
2,500,0.00808773,0.107166,0.115254
2,500,0.00564923,0.0978812,0.10353
2,500,0.00558625,0.0978319,0.103418
2,500,0.00562329,0.0978396,0.103463
2,1000,0.0197031,0.641305,0.661008
2,1000,0.0269,0.570324,0.597224
2,1000,0.0165235,0.54181,0.558334
2,1000,0.0164716,0.541485,0.557957
2,1000,0.0166473,0.541787,0.558434
2,1500,0.0367912,1.79481,1.8316
2,1500,0.0625711,1.90126,1.96383
2,1500,0.0532113,1.82652,1.87973
2,1500,0.0571054,1.811,1.86811
2,1500,0.0545878,1.79951,1.8541
2,2000,0.0667923,9.84437,9.91116
2,2000,0.107644,10.0725,10.1802
2,2000,0.0866868,10.135,10.2217
2,2000,0.0658451,9.96168,10.0275
2,2000,0.0658652,10.1156,10.1815
4,500,0.00384691,0.0403946,0.0442415
4,500,0.00415029,0.0404424,0.0445927
4,500,0.00396138,0.0402204,0.0441818
4,500,0.00368512,0.0401442,0.0438293
4,500,0.0037343,0.0402465,0.0439808
4,1000,0.0117839,0.280657,0.292441
4,1000,0.0119376,0.280498,0.292435
4,1000,0.0115624,0.280752,0.292315
4,1000,0.0116121,0.280049,0.291661
4,1000,0.0116598,0.3197,0.33136
4,1500,0.0249319,0.975787,1.00072
4,1500,0.0264,0.92257,0.94897
4,1500,0.0263691,0.925685,0.952054
4,1500,0.0265755,0.962502,0.989078
4,1500,0.0292731,0.933388,0.962661
4,2000,0.0471326,5.25289,5.30002
4,2000,0.043446,5.31008,5.35352
4,2000,0.0470817,5.25715,5.30423
4,2000,0.0443886,5.27265,5.31703
4,2000,0.0615044,5.24739,5.30889
6,500,0.00370935,0.0280684,0.0317777
6,500,0.00339151,0.0277121,0.0311036
6,500,0.00343321,0.0275236,0.0309568
6,500,0.00345507,0.0276145,0.0310695
6,500,0.00336068,0.0278925,0.0312532
6,1000,0.0108284,0.194185,0.205014
6,1000,0.0118879,0.194235,0.206123
6,1000,0.0100797,0.196691,0.206771
6,1000,0.00986858,0.193931,0.2038
6,1000,0.0102859,0.194482,0.204768
6,1500,0.0215708,0.656872,0.678443
6,1500,0.0233752,0.657886,0.681261
6,1500,0.0231971,0.642344,0.665541
6,1500,0.0229648,0.635994,0.658959
6,1500,0.0222126,0.661868,0.684081
6,2000,0.0402008,3.58325,3.62345
6,2000,0.0400565,3.60008,3.64014
6,2000,0.041309,3.56411,3.60542
6,2000,0.0375472,3.59972,3.63727
6,2000,0.0386119,3.56198,3.6006
8,500,0.00360229,0.0222918,0.0258941
8,500,0.00369213,0.0224225,0.0261146
8,500,0.00332705,0.0219111,0.0252382
8,500,0.00334215,0.0222147,0.0255568
8,500,0.00331771,0.0222371,0.0255548
8,1000,0.00974794,0.150432,0.16018
8,1000,0.0097228,0.150674,0.160397
8,1000,0.00975739,0.172426,0.182184
8,1000,0.00992841,0.150734,0.160663
8,1000,0.00986653,0.150947,0.160813
8,1500,0.0222314,0.499305,0.521536
8,1500,0.0212901,0.541354,0.562644
8,1500,0.021344,0.523662,0.545006
8,1500,0.0250234,0.49643,0.521454
8,1500,0.0208138,0.530068,0.550882
8,2000,0.0387307,2.81934,2.85807
8,2000,0.0357556,2.68609,2.72184
8,2000,0.0365514,2.78396,2.82051
8,2000,0.036476,2.74877,2.78525
8,2000,0.0360636,2.79589,2.83196
10,500,0.00350565,0.0186843,0.0221899
10,500,0.00355082,0.0183425,0.0218933
10,500,0.00320697,0.0181676,0.0213745
10,500,0.00320309,0.0181946,0.0213977
10,500,0.00327523,0.0183575,0.0216328
10,1000,0.00927105,0.124938,0.134209
10,1000,0.00908766,0.125006,0.134094
10,1000,0.00969833,0.142088,0.151787
10,1000,0.00899093,0.12495,0.133941
10,1000,0.00936706,0.124583,0.13395
10,1500,0.0193237,0.418321,0.437644
10,1500,0.0212676,0.41331,0.434578
10,1500,0.0205994,0.409557,0.430156
10,1500,0.0203199,0.408779,0.429099
10,1500,0.022854,0.412638,0.435492
10,2000,0.036334,2.18706,2.22339
10,2000,0.0364717,2.19674,2.23321
10,2000,0.0350918,2.26183,2.29692
10,2000,0.0349307,2.15698,2.19191
10,2000,0.0348111,2.30565,2.34046
12,500,0.00347622,0.0160949,0.0195712
