NumThreads,Dim,InitTime,MulTime,Runtime
1,500,0.0165683,0.2192,0.235768
1,500,0.00822875,0.194413,0.202642
1,500,0.00823346,0.194422,0.202656
1,500,0.0200207,0.23137,0.251391
1,500,0.0144244,0.212349,0.226774
1,1000,0.0587164,1.26168,1.3204
1,1000,0.0398545,1.22915,1.269
1,1000,0.0250584,1.08108,1.10614
1,1000,0.025428,1.08836,1.11379
1,1000,0.0251658,1.21542,1.24058
1,1500,0.1163,3.94407,4.06037
1,1500,0.11485,3.88744,4.00229
1,1500,0.0853356,3.70108,3.78642
1,1500,0.059594,3.66936,3.72895
1,1500,0.0597469,3.70875,3.7685
1,2000,0.106197,16.2791,16.3853
1,2000,0.173937,16.7533,16.9272
1,2000,0.17899,16.5078,16.6868
1,2000,0.115644,16.3492,16.4648
1,2000,0.106748,16.3762,16.4829
1,2500,0.165501,30.5615,30.727
1,2500,0.166157,30.5452,30.7114
1,2500,0.166114,30.5479,30.714
1,2500,0.165971,30.53,30.6959
1,2500,0.165725,30.5635,30.7292
2,500,0.010266,0.137615,0.147881
2,500,0.00804227,0.106235,0.114277
2,500,0.00631454,0.0983022,0.104617
2,500,0.00591055,0.0979183,0.103829
2,500,0.00592843,0.0979443,0.103873
2,1000,0.020446,0.621916,0.642362
2,1000,0.0279696,0.645387,0.673357
2,1000,0.0178219,0.581686,0.599508
2,1000,0.0313566,0.595361,0.626717
2,1000,0.0245167,0.587592,0.612109
2,1500,0.0377491,1.94306,1.98081
2,1500,0.0588061,1.87899,1.93779
2,1500,0.0384372,1.96997,2.00841
2,1500,0.0510532,1.88453,1.93558
2,1500,0.0559898,1.88178,1.93777
2,2000,0.0960724,10.4453,10.5414
2,2000,0.0871128,10.3854,10.4725
2,2000,0.0904256,10.1685,10.259
2,2000,0.0710907,10.0007,10.0718
2,2000,0.0652121,10.1783,10.2435
2,2500,0.160602,20.2483,20.4089
2,2500,0.123085,19.2105,19.3336
2,2500,0.194467,18.189,18.3835
2,2500,0.179122,20.1939,20.373
2,2500,0.14579,19.9815,20.1273
4,500,0.0090939,0.0724317,0.0815256
4,500,0.00520871,0.0527225,0.0579313
4,500,0.00419998,0.044986,0.049186
4,500,0.0041095,0.0408503,0.0449598
4,500,0.00372225,0.0409205,0.0446427
4,1000,0.0120124,0.302427,0.31444
4,1000,0.0119594,0.279861,0.29182
4,1000,0.012041,0.279999,0.29204
4,1000,0.011605,0.279467,0.291072
4,1000,0.0113661,0.298902,0.310268
4,1500,0.0259951,1.01711,1.0431
4,1500,0.0405336,0.944106,0.98464
4,1500,0.0382605,0.962665,1.00093
4,1500,0.0265044,0.921474,0.947978
4,1500,0.0263907,0.927573,0.953964
4,2000,0.0462201,5.14839,5.19461
4,2000,0.0470581,4.87566,4.92272
4,2000,0.057308,5.05473,5.11204
4,2000,0.0600198,5.13741,5.19743
4,2000,0.0455519,5.32292,5.36847
4,2500,0.0740108,10.7125,10.7866
4,2500,0.0774155,10.8767,10.9541
4,2500,0.0882354,10.3527,10.4409
4,2500,0.0761678,10.1006,10.1768
4,2500,0.071873,10.0238,10.0956
6,500,0.00358563,0.0281134,0.031699
6,500,0.00332691,0.0276208,0.0309477
6,500,0.00316421,0.0273706,0.0305348
6,500,0.00372207,0.0281094,0.0318315
6,500,0.00345631,0.0276526,0.0311089
6,1000,0.0103748,0.187466,0.197841
6,1000,0.0100045,0.193793,0.203798
6,1000,0.0104574,0.226041,0.236498
6,1000,0.010414,0.193583,0.203997
6,1000,0.0100701,0.193145,0.203215
6,1500,0.0218912,0.651738,0.673629
6,1500,0.0232751,0.655206,0.678481
6,1500,0.0229467,0.671772,0.694719
6,1500,0.0260493,0.680506,0.706555
6,1500,0.0231639,0.63493,0.658094
6,2000,0.0404607,3.60257,3.64303
6,2000,0.0395954,3.41631,3.4559
6,2000,0.039791,3.65296,3.69275
6,2000,0.0395623,3.65176,3.69132
6,2000,0.0394958,3.63315,3.67265
6,2500,0.0589377,6.90498,6.96392
6,2500,0.0615962,7.00456,7.06615
6,2500,0.0584766,7.17246,7.23093
6,2500,0.0620864,7.09479,7.15687
6,2500,0.0593014,7.29898,7.35828
8,500,0.00369571,0.0221327,0.0258284
8,500,0.00300578,0.0219387,0.0249445
8,500,0.0036669,0.0222789,0.0259458
8,500,0.00317803,0.0223144,0.0254924
8,500,0.00366707,0.0226976,0.0263646
8,1000,0.00979165,0.150487,0.160279
8,1000,0.00959926,0.149929,0.159528
8,1000,0.00995463,0.147697,0.157652
8,1000,0.00958128,0.149978,0.159559
8,1000,0.00994884,0.150315,0.160264
8,1500,0.0200701,0.50213,0.5222
8,1500,0.0213085,0.508623,0.529932
8,1500,0.0258567,0.506284,0.532141
8,1500,0.0216521,0.509757,0.531409
8,1500,0.0212369,0.520969,0.542206
8,2000,0.0419773,2.81115,2.85313
8,2000,0.0352716,2.62625,2.66152
8,2000,0.0373496,2.8105,2.84785
8,2000,0.0358836,2.68326,2.71914
8,2000,0.0365393,2.72159,2.75813
8,2500,0.0547946,5.28642,5.34122
8,2500,0.0567046,5.47943,5.53614
8,2500,0.054136,5.30391,5.35805
8,2500,0.0566059,5.41216,5.46877
8,2500,0.0543207,5.11886,5.17318
10,500,0.00351287,0.0184857,0.0219986
10,500,0.00344213,0.0182815,0.0217237
10,500,0.00340463,0.0182994,0.0217041
10,500,0.00358825,0.0188519,0.0224402
10,500,0.00333212,0.0185667,0.0218989
10,1000,0.00934617,0.125253,0.134599
10,1000,0.010607,0.124717,0.135324
10,1000,0.00877703,0.124519,0.133296
10,1000,0.00918512,0.124441,0.133626
10,1000,0.00933604,0.124418,0.133754
10,1500,0.0200429,0.419215,0.439258
10,1500,0.0231349,0.412552,0.435687
10,1500,0.020265,0.418809,0.439074
10,1500,0.0217304,0.418299,0.440029
10,1500,0.0197687,0.413501,0.433269
10,2000,0.0402919,2.19743,2.23772
10,2000,0.0348777,2.14244,2.17732
10,2000,0.0352887,2.32775,2.36304
10,2000,0.0358323,2.31763,2.35346
10,2000,0.0351177,2.26451,2.29963
10,2500,0.0553903,4.27539,4.33078
10,2500,0.0676477,4.18983,4.25748
10,2500,0.0543245,4.05365,4.10797
10,2500,0.0540215,4.22141,4.27544
10,2500,0.0521453,4.1723,4.22445
12,500,0.00351615,0.0160294,0.0195456
12,500,0.0032605,0.0158583,0.0191188
12,500,0.00312325,0.0157727,0.018896
12,500,0.00303323,0.0157692,0.0188025
12,500,0.00324199,0.0157051,0.0189471
12,1000,0.00861418,0.108463,0.117077
12,1000,0.0088859,0.108442,0.117328
12,1000,0.00930996,0.109013,0.118323
12,1000,0.00881922,0.108556,0.117375
12,1000,0.00977884,0.108657,0.118436
12,1500,0.0195953,0.352117,0.371712
12,1500,0.0195917,0.369722,0.389314
12,1500,0.0242188,0.370661,0.39488
12,1500,0.0191257,0.361682,0.380807
