NumThreads,Dim,InitTime,MulTime,Runtime
1,500,0.009035,0.130206,0.139241
1,500,0.008328,0.130745,0.139073
1,500,0.00809,0.129158,0.137248
1,500,0.008658,0.130303,0.138961
1,500,0.007758,0.129333,0.137091
1,1000,0.032877,1.84031,1.87319
1,1000,0.031942,1.81227,1.84421
1,1000,0.032414,1.95363,1.98605
1,1000,0.03233,1.83527,1.8676
1,1000,0.032213,2.12571,2.15792
1,1500,0.072281,24.0115,24.0838
1,1500,0.072175,23.9397,24.0118
1,1500,0.073591,23.8554,23.929
1,1500,0.074112,24.0831,24.1572
1,1500,0.073965,23.6096,23.6835
1,2000,0.129766,62.5247,62.6545
1,2000,0.131281,65.1516,65.2829
1,2000,0.131066,63.1599,63.291
1,2000,0.13036,65.2154,65.3457
1,2000,0.128817,64.8044,64.9332
2,500,0.005176,0.06715,0.072326
2,500,0.005713,0.065427,0.07114
2,500,0.005336,0.065823,0.071159
2,500,0.005377,0.066131,0.071508
2,500,0.005314,0.065722,0.071036
2,1000,0.021357,0.996258,1.01761
2,1000,0.020936,0.993023,1.01396
2,1000,0.021302,0.992803,1.01411
2,1000,0.021801,0.980673,1.00247
2,1000,0.021537,0.982088,1.00362
2,1500,0.048596,11.875,11.9236
2,1500,0.046977,11.9137,11.9607
2,1500,0.04756,11.9732,12.0208
2,1500,0.046533,12.2349,12.2814
2,1500,0.046741,12.0296,12.0763
2,2000,0.083368,31.5028,31.5862
2,2000,0.082576,31.6734,31.756
2,2000,0.082774,32.0627,32.1455
2,2000,0.082014,31.5604,31.6425
2,2000,0.082421,33.2174,33.2998
3,500,0.004609,0.047217,0.051826
3,500,0.004617,0.045298,0.049915
3,500,0.004597,0.047961,0.052558
3,500,0.004982,0.045492,0.050474
3,500,0.004623,0.046711,0.051334
3,1000,0.017229,0.705968,0.723197
3,1000,0.019575,0.830156,0.849731
3,1000,0.018021,0.716758,0.734779
3,1000,0.018731,0.746045,0.764776
3,1000,0.017629,0.678387,0.696016
3,1500,0.03738,8.22459,8.26197
3,1500,0.037741,8.26138,8.29912
3,1500,0.043192,8.67084,8.71403
3,1500,0.038176,8.33958,8.37776
3,1500,0.039339,8.15814,8.19748
3,2000,0.068189,22.02,22.0882
3,2000,0.066506,21.0236,21.0901
3,2000,0.06777,21.6248,21.6926
3,2000,0.068738,22.2167,22.2854
3,2000,0.067875,21.5944,21.6623
4,500,0.005083,0.046172,0.051255
4,500,0.004272,0.036856,0.041128
4,500,0.004842,0.036745,0.041587
4,500,0.004345,0.033953,0.038298
4,500,0.004171,0.037332,0.041503
4,1000,0.015956,0.580912,0.596868
4,1000,0.015866,0.551009,0.566875
4,1000,0.015182,0.567275,0.582457
4,1000,0.015704,0.562882,0.578586
4,1000,0.015538,0.495133,0.510671
4,1500,0.034839,6.51432,6.54916
4,1500,0.038262,6.27728,6.31554
4,1500,0.04067,6.31408,6.35475
4,1500,0.036858,6.51477,6.55163
4,1500,0.03586,6.35139,6.38725
4,2000,0.061788,16.1613,16.2231
4,2000,0.061091,16.3695,16.4306
4,2000,0.060792,16.7401,16.8009
4,2000,0.057836,16.6013,16.6591
4,2000,0.060865,16.8464,16.9073
