NumThreads,Dim,InitTime,MulTime,Runtime
1,500,0.0177946,0.167646,0.185441
1,500,0.00989467,0.137682,0.147576
1,500,0.019917,0.174447,0.194364
1,500,0.0143275,0.156031,0.170359
1,500,0.00835406,0.137921,0.146275
1,1000,0.0330054,1.00684,1.03984
1,1000,0.0604654,1.05128,1.11175
1,1000,0.0399573,0.874803,0.914761
1,1000,0.0246247,0.856384,0.881009
1,1000,0.0256979,0.866154,0.891852
1,1500,0.113786,3.0887,3.20248
1,1500,0.114556,3.11142,3.22598
1,1500,0.11448,3.04862,3.1631
1,1500,0.0809963,2.9019,2.9829
1,1500,0.0578843,2.87871,2.93659
1,2000,0.177102,7.37996,7.55706
1,2000,0.139196,7.21905,7.35824
1,2000,0.111692,7.29534,7.40703
1,2000,0.178302,7.352,7.5303
1,2000,0.135306,7.42598,7.56129
1,2500,0.163963,14.0396,14.2035
1,2500,0.251608,14.4822,14.7338
1,2500,0.190652,14.211,14.4016
1,2500,0.252066,14.1588,14.4109
1,2500,0.191246,14.0671,14.2583
2,500,0.00981773,0.104368,0.114186
2,500,0.00794679,0.0792117,0.0871585
2,500,0.00578939,0.0694065,0.0751959
2,500,0.00560595,0.0693522,0.0749581
2,500,0.00561708,0.0693075,0.0749246
2,1000,0.0190671,0.532808,0.551875
2,1000,0.0279447,0.460934,0.488879
2,1000,0.0230073,0.451933,0.47494
2,1000,0.0242818,0.451342,0.475623
2,1000,0.0285666,0.456904,0.485471
2,1500,0.0535648,1.51595,1.56952
2,1500,0.0543953,1.5462,1.6006
2,1500,0.0567835,1.50573,1.56251
2,1500,0.0529631,1.48966,1.54262
2,1500,0.0371611,1.49946,1.53662
2,2000,0.100719,3.89809,3.99881
2,2000,0.105422,3.80676,3.91218
2,2000,0.0666797,3.80224,3.86892
2,2000,0.120259,3.89071,4.01097
2,2000,0.123525,3.81666,3.94018
2,2500,0.168899,7.88117,8.05007
2,2500,0.143398,7.55836,7.70176
2,2500,0.137782,7.56078,7.69856
2,2500,0.184218,7.90532,8.08954
2,2500,0.140658,7.61104,7.7517
4,500,0.00401217,0.028528,0.0325402
4,500,0.00368288,0.0283184,0.0320013
4,500,0.00364518,0.028282,0.0319272
4,500,0.00371644,0.0283063,0.0320227
4,500,0.00396054,0.0287606,0.0327211
4,1000,0.0119124,0.23217,0.244082
4,1000,0.018447,0.229668,0.248115
4,1000,0.0173725,0.231561,0.248933
4,1000,0.0119144,0.223607,0.235522
4,1000,0.0117578,0.231189,0.242947
4,1500,0.0262743,0.744852,0.771126
4,1500,0.0262298,0.807996,0.834226
4,1500,0.0372027,0.761878,0.79908
4,1500,0.0268566,0.754986,0.781843
4,1500,0.0262766,0.76993,0.796206
4,2000,0.0465255,2.03346,2.07999
4,2000,0.0587154,1.95876,2.01748
4,2000,0.0483737,1.9926,2.04097
4,2000,0.0444306,1.94887,1.9933
4,2000,0.0465077,1.97987,2.02638
4,2500,0.0727426,3.92125,3.99399
4,2500,0.0910891,3.90396,3.99505
4,2500,0.0947488,3.92163,4.01638
4,2500,0.0999076,3.82395,3.92385
4,2500,0.0813973,3.89748,3.97888
6,500,0.00478466,0.0310984,0.035883
6,500,0.00386955,0.0207994,0.0246689
6,500,0.00355256,0.02075,0.0243026
6,500,0.00329166,0.0202846,0.0235762
6,500,0.0031725,0.0199019,0.0230744
6,1000,0.0102088,0.15361,0.163819
6,1000,0.0100852,0.153477,0.163562
6,1000,0.0103013,0.153405,0.163706
6,1000,0.0103517,0.153773,0.164125
6,1000,0.0103893,0.163365,0.173755
6,1500,0.0224283,0.512426,0.534854
6,1500,0.0244313,0.527842,0.552274
6,1500,0.0224155,0.528224,0.550639
6,1500,0.0254865,0.549279,0.574766
6,1500,0.0306339,0.525977,0.556611
6,2000,0.040656,1.41239,1.45305
6,2000,0.0472075,1.35541,1.40262
6,2000,0.046566,1.39447,1.44104
6,2000,0.0415305,1.35876,1.40029
6,2000,0.0393022,1.40456,1.44386
6,2500,0.0769551,2.6714,2.74835
6,2500,0.0710431,2.72493,2.79598
6,2500,0.0799867,2.85489,2.93488
6,2500,0.0632313,2.85673,2.91996
6,2500,0.0635444,2.71327,2.77681
8,500,0.00368771,0.0158812,0.0195689
8,500,0.00332729,0.0156916,0.0190189
8,500,0.00326589,0.0155976,0.0188635
8,500,0.00322036,0.0158189,0.0190392
8,500,0.00341554,0.0161126,0.0195281
8,1000,0.00977449,0.119471,0.129246
8,1000,0.00939687,0.118776,0.128173
8,1000,0.0094931,0.124489,0.133982
8,1000,0.0100581,0.122999,0.133057
8,1000,0.00995923,0.122608,0.132567
8,1500,0.0205065,0.398704,0.41921
8,1500,0.0236367,0.398639,0.422276
8,1500,0.0214347,0.39991,0.421345
8,1500,0.0207105,0.397847,0.418557
8,1500,0.0214734,0.407404,0.428878
8,2000,0.0364618,1.05362,1.09009
8,2000,0.0372704,1.10347,1.14074
8,2000,0.0432648,1.07034,1.11361
8,2000,0.0381517,1.06256,1.10071
8,2000,0.037777,1.10178,1.13956
8,2500,0.0606982,2.10644,2.16713
8,2500,0.0575997,2.08029,2.13789
8,2500,0.057273,2.16923,2.2265
8,2500,0.0721606,2.11429,2.18645
8,2500,0.0615798,2.08665,2.14823
10,500,0.0042498,0.0197236,0.0239735
10,500,0.00350151,0.0166966,0.0201981
10,500,0.00344492,0.015958,0.0194029
10,500,0.00329517,0.0148846,0.0181798
10,500,0.00374388,0.013896,0.0176399
10,1000,0.00967854,0.0991053,0.108784
10,1000,0.00900267,0.0985883,0.107591
10,1000,0.0111514,0.0999712,0.111123
10,1000,0.00967905,0.101984,0.111663
10,1000,0.00924484,0.101678,0.110923
10,1500,0.0198646,0.33267,0.352535
10,1500,0.0204471,0.329942,0.35039
10,1500,0.0233106,0.338958,0.362269
10,1500,0.020036,0.329248,0.349284
10,1500,0.020444,0.329991,0.350435
10,2000,0.0351568,0.870383,0.90554
10,2000,0.0352742,0.872182,0.907456
10,2000,0.036375,0.89152,0.927896
10,2000,0.0386005,0.880013,0.918614
10,2000,0.0408114,0.87519,0.916001
10,2500,0.0695253,1.75476,1.82429
10,2500,0.0708574,1.76429,1.83515
10,2500,0.0777782,1.74303,1.82081
10,2500,0.055115,1.77166,1.82677
10,2500,0.0633186,1.75132,1.81464
12,500,0.0041663,0.0149509,0.0191172
12,500,0.00345797,0.0135726,0.0170305
12,500,0.00343839,0.013039,0.0164774
12,500,0.00380018,0.0125384,0.0163386
12,500,0.00335181,0.011475,0.0148269
12,1000,0.00912331,0.0858888,0.0950121
12,1000,0.00919824,0.0858999,0.0950981
12,1000,0.00935265,0.0858274,0.09518
12,1000,0.00880449,0.0856158,0.0944203
12,1000,0.00874263,0.0854932,0.0942359
12,1500,0.0189373,0.283619,0.302556
12,1500,0.0194394,0.284008,0.303448
12,1500,0.0198467,0.284561,0.304407
12,1500,0.0197637,0.283632,0.303395
12,1500,0.0194846,0.284287,0.303772
12,2000,0.0396424,0.759466,0.799108
12,2000,0.0385191,0.768546,0.807065
12,2000,0.0344608,0.759665,0.794126
12,2000,0.0443825,0.760987,0.80537
12,2000,0.0381358,0.758458,0.796593
12,2500,0.0506345,1.50557,1.5562
12,2500,0.050485,1.50856,1.55905
12,2500,0.0588314,1.50658,1.56541
12,2500,0.053398,1.52397,1.57737
12,2500,0.0730384,1.54345,1.61649
14,500,0.00428361,0.0135933,0.0178769
14,500,0.00344682,0.0121914,0.0156383
14,500,0.00338054,0.0113944,0.014775
14,500,0.0033629,0.0106862,0.0140491
14,500,0.00324164,0.0101926,0.0134342
14,1000,0.00855607,0.0748097,0.0833658
14,1000,0.00916226,0.0739268,0.083089
14,1000,0.00870569,0.0743885,0.0830941
14,1000,0.00914808,0.0738536,0.0830017
14,1000,0.0102701,0.0737943,0.0840644
14,1500,0.0208196,0.246812,0.267632
14,1500,0.0196014,0.246674,0.266275
14,1500,0.022604,0.246178,0.268782
14,1500,0.0185651,0.246187,0.264753
