NumThreads,Dim,InitTime,MulTime,Runtime
1,500,0.008662,0.099808,0.10847
1,500,0.007733,0.102337,0.11007
1,500,0.007819,0.100301,0.10812
1,500,0.007751,0.100541,0.108292
1,500,0.007868,0.100138,0.108006
1,1000,0.031553,0.839212,0.870765
1,1000,0.031035,0.909504,0.940539
1,1000,0.035438,0.870163,0.905601
1,1000,0.030848,0.843816,0.874664
1,1000,0.032329,0.835036,0.867365
1,1500,0.07185,2.98157,3.05342
1,1500,0.08442,3.18669,3.2711
1,1500,0.071711,2.94194,3.01365
1,1500,0.072067,2.97325,3.04532
1,1500,0.082755,3.15833,3.24108
1,2000,0.126576,7.11735,7.24392
1,2000,0.124247,6.99698,7.12123
1,2000,0.14833,6.9982,7.14654
1,2000,0.128177,6.85208,6.98026
1,2000,0.126725,6.81469,6.94142
2,500,0.005103,0.052371,0.057474
2,500,0.005138,0.051404,0.056542
2,500,0.005298,0.051644,0.056942
2,500,0.005057,0.052063,0.05712
2,500,0.005472,0.050864,0.056336
2,1000,0.019881,0.421476,0.441357
2,1000,0.02004,0.417693,0.437733
2,1000,0.019893,0.424654,0.444547
2,1000,0.020558,0.422862,0.44342
2,1000,0.019762,0.430995,0.450757
2,1500,0.045613,1.4836,1.52922
2,1500,0.046191,1.50452,1.55071
2,1500,0.045958,1.45277,1.49873
2,1500,0.045435,1.48449,1.52992
2,1500,0.045145,1.48979,1.53493
2,2000,0.080364,3.5297,3.61006
2,2000,0.079732,3.51843,3.59816
2,2000,0.08001,3.53854,3.61855
2,2000,0.079966,3.56193,3.64189
2,2000,0.081279,3.52758,3.60886
3,500,0.004899,0.035556,0.040455
3,500,0.004673,0.035931,0.040604
3,500,0.004476,0.035577,0.040053
3,500,0.004501,0.035556,0.040057
3,500,0.004375,0.035339,0.039714
3,1000,0.016623,0.287999,0.304622
3,1000,0.017475,0.289145,0.30662
3,1000,0.019365,0.291364,0.310729
3,1000,0.017081,0.282076,0.299157
3,1000,0.01621,0.289116,0.305326
3,1500,0.038574,0.995435,1.03401
3,1500,0.037265,0.969288,1.00655
3,1500,0.036944,0.962398,0.999342
3,1500,0.03698,0.969723,1.0067
3,1500,0.037792,0.985779,1.02357
3,2000,0.064835,2.29513,2.35997
3,2000,0.064883,2.32444,2.38933
3,2000,0.064053,2.31837,2.38243
3,2000,0.065479,2.32495,2.39042
3,2000,0.064756,2.33382,2.39858
4,500,0.004046,0.030359,0.034405
4,500,0.004492,0.027442,0.031934
4,500,0.003962,0.027334,0.031296
4,500,0.004272,0.027774,0.032046
4,500,0.003872,0.027271,0.031143
4,1000,0.014472,0.221569,0.236041
4,1000,0.015448,0.22502,0.240468
4,1000,0.015003,0.216735,0.231738
4,1000,0.015078,0.224247,0.239325
4,1000,0.015575,0.221527,0.237102
4,1500,0.032703,0.748882,0.781585
4,1500,0.032895,0.787973,0.820868
4,1500,0.036024,0.760057,0.796081
4,1500,0.034945,0.805609,0.840554
4,1500,0.035382,0.753918,0.7893
4,2000,0.059776,1.84591,1.90569
4,2000,0.061466,1.83408,1.89555
4,2000,0.061558,1.89373,1.95529
4,2000,0.060361,1.86013,1.92049
4,2000,0.061121,1.84635,1.90747
